ID,RAM,HDD,SSD1,SSD2,OS,CHIPSET,SCREEN SIZE,RESOLUTION,GRAPHICS CARD,GPU MEMORY,PRICE
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Home,Intel-i7-10-G7,14,HD,Integrated,0,65076
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,50916
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,61876
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,62676
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,72276
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,43156
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,54116
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,54916
IdeaPad 3 14i,12,1024,128.00,0.00,Windows-Home,Intel-i7-10-G7,14,HD,Integrated,0,65076
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,50916
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,61876
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,62676
IdeaPad 3 14i,12,1024,128.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,72276
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Home,Intel-i3-10-G1,14,FHD,Integrated,0,42876
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Home,Intel-i5-10-G1,14,FHD,Integrated,0,53836
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Home,Intel-i5-10-G4,14,FHD,Integrated,0,54636
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Home,Intel-i7-10-G7,14,FHD,Integrated,0,66636
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Pro,Intel-i3-10-G1,14,FHD,Integrated,0,52476
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Pro,Intel-i5-10-G1,14,FHD,Integrated,0,63436
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Pro,Intel-i5-10-G4,14,FHD,Integrated,0,64236
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Pro,Intel-i7-10-G7,14,FHD,Integrated,0,73836
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Home,Intel-i3-10-G1,14,FHD,Integrated,0,44716
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Home,Intel-i5-10-G1,14,FHD,Integrated,0,55676
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Home,Intel-i5-10-G4,14,FHD,Integrated,0,56476
IdeaPad 3 14i,12,1024,128.00,0.00,Windows-Home,Intel-i7-10-G7,14,FHD,Integrated,0,66636
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Pro,Intel-i3-10-G1,14,FHD,Integrated,0,52476
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Pro,Intel-i5-10-G1,14,FHD,Integrated,0,63436
IdeaPad 3 14i,8,1024,128.00,0.00,Windows-Pro,Intel-i5-10-G4,14,FHD,Integrated,0,64236
IdeaPad 3 14i,12,1024,128.00,0.00,Windows-Pro,Intel-i7-10-G7,14,FHD,Integrated,0,73836
IdeaPad 3 15,4,512,0.00,0.00,Windows-Home,AMD-Ryzen-3,15.6,FHD,Integrated,0,35340
IdeaPad 3 15,8,1024,128.00,0.00,Windows-Home,AMD-Ryzen-5,15.6,FHD,Integrated Vega 8,0,40990
IdeaPad 3 15,8,0,512.00,0.00,Windows-Home,AMD-Ryzen-5,15.6,FHD,Integrated Vega 8,0,42990
IdeaPad 3 15,4,512,0.00,0.00,Windows-Pro,AMD-Ryzen-3,15.6,FHD,Integrated,0,44340
IdeaPad 3 15,8,1024,128.00,0.00,Windows-Pro,AMD-Ryzen-5,15.6,FHD,Integrated Vega 8,0,49990
IdeaPad 3 15,8,0,512.00,0.00,Windows-Pro,AMD-Ryzen-5,15.6,FHD,Integrated Vega 8,0,51990
IdeaPad L340-16,8,1024,0.00,0.00,Windows-Home,Intel-i5-9,15.6,FHD,GTX 1650,4,56669
IdeaPad L340-G16,8,1024,0.00,0.00,Windows-Home,Intel-i5-9,15.6,FHD,GTX 1050,3,58990
IdeaPad L340-G16,8,1024,256.00,0.00,Windows-Home,Intel-i5-9,15.6,FHD,GTX 1050,3,59909
